property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price_per_sqft,bath_bed_ratio,price_log
flat,sector 108,2.6,3.0,3.0,2,New Property,1711.0,0.0,0.0,unfurnished,Low,0.0015195791934541204,1.0,1.2809338454620642
house,sector 28,8.95,5.0,6.0,3+,Moderately Old,5000.0,0.0,0.0,unfurnished,Low,0.00179,1.2,2.2975725511705014
flat,sector 92,1.44,4.0,4.0,3,Relatively New,2648.0,0.0,0.0,unfurnished,Low,0.0005438066465256798,1.0,0.8919980393051105
flat,sector 22,2.55,3.0,3.0,3,Relatively New,1860.0,0.0,0.0,semiunfurnished,High,0.0013709677419354838,1.0,1.2669476034873244
flat,sector 36,1.0,3.0,2.0,3,New Property,1311.0,0.0,0.0,unfurnished,High,0.0007627765064836003,0.6666666666666666,0.6931471805599453
flat,sector 39,1.5,4.0,3.0,3,Old Property,3051.0,1.0,0.0,furnished,Low,0.0004916420845624386,0.75,0.916290731874155
flat,sector 77,0.86,2.0,2.0,2,New Property,1207.0,0.0,0.0,semiunfurnished,Medium,0.0007125103562551781,1.0,0.6205764877251099
flat,sohna road,0.65,2.0,2.0,2,Relatively New,1037.0,0.0,0.0,unfurnished,High,0.000626808100289296,1.0,0.5007752879124893
flat,sector 70,2.35,4.0,4.0,3+,Moderately Old,3116.0,1.0,0.0,semiunfurnished,Medium,0.0007541720154043646,1.0,1.208960345836975
flat,sector 85,1.11,2.0,2.0,3,Relatively New,1630.0,0.0,1.0,unfurnished,High,0.0006809815950920246,1.0,0.7466879474879752
flat,sector 65,2.25,3.0,3.0,3,Relatively New,1600.0,1.0,0.0,semiunfurnished,Low,0.00140625,1.0,1.178654996341646
flat,sector 83,0.78,2.0,2.0,2,Relatively New,850.0,0.0,0.0,semiunfurnished,High,0.0009176470588235294,1.0,0.5766133643039938
flat,sector 84,1.15,2.0,2.0,3,Relatively New,1508.0,0.0,0.0,unfurnished,Low,0.0007625994694960211,1.0,0.7654678421395714
house,sector 72,3.1,5.0,5.0,3+,Relatively New,3653.0,0.0,0.0,unfurnished,Low,0.0008486175745962224,1.0,1.410986973710262
flat,sector 91,2.0,4.0,4.0,3+,Moderately Old,2453.0,1.0,0.0,unfurnished,Medium,0.0008153281695882593,1.0,1.0986122886681096
flat,sector 70,1.64,3.0,5.0,3,Relatively New,1631.0,1.0,0.0,unfurnished,Medium,0.0010055180870631513,1.6666666666666667,0.9707789171582247
flat,sector 9,0.94,3.0,3.0,2,Moderately Old,2012.0,0.0,0.0,semiunfurnished,Medium,0.00046719681908548706,1.0,0.6626879730752367
flat,sector 108,2.08,4.0,4.0,3+,Relatively New,2631.0,1.0,0.0,unfurnished,High,0.0007905739262637781,1.0,1.1249295969854831
house,sector 81,0.89,1.0,1.0,0,Relatively New,1095.0,0.0,0.0,unfurnished,Low,0.0008127853881278539,1.0,0.636576829071551
house,sector 26,18.25,7.0,9.0,3+,Relatively New,12981.0,1.0,1.0,semiunfurnished,Medium,0.0014059009321315769,1.2857142857142858,2.9575110607337933
flat,sector 85,2.13,4.0,4.0,3,Relatively New,2600.0,0.0,0.0,unfurnished,Low,0.0008192307692307691,1.0,1.1410330045520618
