property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price_per_sqft,bath_bed_ratio,price_log
flat,sector 79,1.3,3.0,3.0,2,Relatively New,1292.0,0.0,0.0,unfurnished,High,0.0010061919504643962,1.0,0.832909122935104
flat,sector 51,0.71,2.0,2.0,1,Relatively New,1176.0,0.0,0.0,unfurnished,Low,0.0006037414965986395,1.0,0.5364933705145685
flat,sector 37d,1.0,3.0,3.0,3+,Moderately Old,1592.0,0.0,0.0,unfurnished,Low,0.000628140703517588,1.0,0.6931471805599453
flat,sector 61,1.6,2.0,2.0,2,New Property,1493.0,0.0,0.0,unfurnished,Low,0.001071667782987274,1.0,0.9555114450274363
flat,sector 88a,1.29,3.0,3.0,3,New Property,1789.0,0.0,0.0,unfurnished,Medium,0.0007210732252655115,1.0,0.8285518175661483
flat,sector 68,1.0,2.0,2.0,2,New Property,1532.0,0.0,0.0,unfurnished,Medium,0.0006527415143603133,1.0,0.6931471805599453
house,sector 8,0.82,2.0,4.0,0,Old Property,1041.0,0.0,0.0,unfurnished,Low,0.0007877041306436119,2.0,0.5988365010887039
flat,sector 104,2.45,3.0,4.0,3+,Relatively New,2296.0,1.0,0.0,semiunfurnished,Medium,0.0010670731707317074,1.3333333333333333,1.2383742310432684
flat,sector 83,1.76,3.0,3.0,3,Relatively New,1500.0,1.0,0.0,semiunfurnished,High,0.0011733333333333333,1.0,1.0152306797290587
flat,sector 74,1.6,2.0,2.0,2,New Property,1265.0,0.0,0.0,unfurnished,Low,0.0012648221343873518,1.0,0.9555114450274363
flat,sector 109,0.79,3.0,2.0,2,Relatively New,1302.0,0.0,0.0,semiunfurnished,Low,0.0006067588325652842,0.6666666666666666,0.5822156198526636
flat,sector 86,1.3,4.0,6.0,2,New Property,2506.0,1.0,0.0,unfurnished,Medium,0.0005187549880287311,1.5,0.832909122935104
flat,sector 74,2.25,3.0,3.0,3,Relatively New,1900.0,0.0,0.0,unfurnished,High,0.0011842105263157896,1.0,1.178654996341646
flat,sohna road,0.65,2.0,2.0,3,New Property,822.0,0.0,0.0,unfurnished,Medium,0.0007907542579075426,1.0,0.5007752879124893
flat,sector 81,0.75,2.0,2.0,2,Moderately Old,1632.0,0.0,0.0,unfurnished,Low,0.00045955882352941176,1.0,0.5596157879354227
flat,sector 69,3.1,4.0,6.0,3+,Relatively New,3042.0,1.0,0.0,unfurnished,High,0.0010190664036817884,1.5,1.410986973710262
flat,sector 72,4.1,3.0,3.0,3,Moderately Old,2294.0,1.0,0.0,unfurnished,Low,0.0017872711421098517,1.0,1.62924053973028
flat,sector 102,1.98,3.0,3.0,3+,Relatively New,2596.0,1.0,0.0,semiunfurnished,Medium,0.0007627118644067797,1.0,1.091923300517313
flat,sector 65,2.44,3.0,3.0,2,Under Construction,1644.0,0.0,0.0,unfurnished,Low,0.0014841849148418491,1.0,1.235471471385307
flat,sector 12,0.72,2.0,2.0,1,Relatively New,1285.0,0.0,0.0,semiunfurnished,Low,0.0005603112840466926,1.0,0.5423242908253616
flat,sector 66,2.99,3.0,3.0,3,Relatively New,2000.0,1.0,0.0,semiunfurnished,Low,0.001495,1.0,1.3837912309017721
flat,sector 37d,1.49,3.0,3.0,3,Relatively New,1849.0,0.0,0.0,unfurnished,Low,0.000805840995132504,1.0,0.9122827104766162
flat,sector 69,2.6,4.0,4.0,3+,Moderately Old,2159.0,1.0,0.0,unfurnished,Low,0.0012042612320518759,1.0,1.2809338454620642
flat,sector 65,2.0,3.0,3.0,3,Relatively New,2142.0,1.0,0.0,semiunfurnished,High,0.0009337068160597573,1.0,1.0986122886681096
flat,sector 37,0.4,2.0,2.0,2,New Property,779.0,0.0,0.0,unfurnished,Low,0.0005134788189987163,1.0,0.3364722366212129
flat,sector 90,0.92,3.0,3.0,2,Relatively New,2531.0,0.0,0.0,semiunfurnished,Low,0.00036349269063611225,1.0,0.6523251860396901
flat,gwal pahari,1.53,3.0,3.0,3,New Property,1856.0,0.0,0.0,semiunfurnished,High,0.0008243534482758621,1.0,0.9282193027394289
flat,sector 106,0.88,2.0,2.0,3+,Relatively New,1120.0,0.0,0.0,unfurnished,Low,0.0007857142857142857,1.0,0.6312717768418579
flat,sector 102,1.9,3.0,3.0,3+,Relatively New,2500.0,1.0,0.0,unfurnished,High,0.0007599999999999999,1.0,1.0647107369924282
flat,sector 93,0.4,2.0,2.0,0,Relatively New,730.0,0.0,0.0,unfurnished,Low,0.0005479452054794521,1.0,0.3364722366212129
flat,sector 67,3.05,3.0,4.0,2,Relatively New,2200.0,1.0,0.0,semiunfurnished,High,0.0013863636363636363,1.3333333333333333,1.3987168811184476
flat,sector 74,1.6,2.0,2.0,2,Relatively New,1630.0,0.0,0.0,semiunfurnished,High,0.00098159509202454,1.0,0.9555114450274363
house,sector 54,3.51,4.0,4.0,3,New Property,2844.0,1.0,0.0,unfurnished,Medium,0.0012341772151898734,1.0,1.5062971535145868
house,sector 10,3.6,3.0,4.0,3,Moderately Old,1836.0,0.0,0.0,semiunfurnished,Low,0.00196078431372549,1.3333333333333333,1.5260563034950492
flat,sector 107,1.02,2.0,2.0,3,Relatively New,1380.0,0.0,0.0,unfurnished,High,0.0007391304347826087,1.0,0.7030975114131134
flat,sector 81,0.95,2.0,2.0,2,Relatively New,1260.0,0.0,0.0,semiunfurnished,High,0.0007539682539682539,1.0,0.6678293725756554
flat,sohna road,0.55,2.0,2.0,3,Relatively New,1067.0,0.0,0.0,unfurnished,Medium,0.0005154639175257732,1.0,0.43825493093115525
flat,sector 89,1.25,3.0,3.0,3,Under Construction,1280.0,0.0,0.0,unfurnished,Low,0.0009765625,1.0,0.8109302162163288
house,sector 4,0.92,1.0,4.0,3,Moderately Old,603.0,0.0,0.0,unfurnished,Low,0.001525704809286899,4.0,0.6523251860396901
flat,sector 90,0.65,2.0,2.0,3,Relatively New,1214.0,0.0,0.0,unfurnished,High,0.0005354200988467875,1.0,0.5007752879124893
flat,sector 54,1.5,3.0,3.0,3+,Moderately Old,1700.0,0.0,0.0,semiunfurnished,Medium,0.0008823529411764706,1.0,0.916290731874155
flat,sohna road,0.22,1.0,1.0,1,New Property,909.0,0.0,0.0,unfurnished,Medium,0.00024202420242024203,1.0,0.19885085874516517
flat,sector 104,0.82,2.0,2.0,3,Relatively New,100.0,0.0,0.0,unfurnished,High,0.008199999999999999,1.0,0.5988365010887039
flat,sector 109,2.95,4.0,4.0,3+,Relatively New,3150.0,1.0,1.0,semiunfurnished,High,0.0009365079365079366,1.0,1.3737155789130304
flat,sector 86,0.87,2.0,2.0,1,New Property,1223.0,0.0,0.0,semiunfurnished,Low,0.0007113654946852003,1.0,0.6259384308664953
flat,sector 65,2.3,3.0,4.0,3,Relatively New,2142.0,1.0,1.0,furnished,High,0.0010737628384687207,1.3333333333333333,1.1939224684724343
flat,sector 65,2.33,2.0,2.0,3,Under Construction,1134.0,0.0,0.0,semiunfurnished,Low,0.002054673721340388,1.0,1.2029723039923523
flat,sector 109,1.75,3.0,4.0,3+,Relatively New,1934.0,1.0,0.0,unfurnished,High,0.0009048603929679421,1.3333333333333333,1.0116009116784799
flat,sector 102,1.39,3.0,3.0,3,Relatively New,1484.0,1.0,0.0,semiunfurnished,Low,0.0009366576819407008,1.0,0.8712933659434192
flat,gwal pahari,0.38,1.0,1.0,1,Moderately Old,561.0,0.0,0.0,unfurnished,Low,0.0006773618538324421,1.0,0.3220834991691133
flat,sohna road,0.78,3.0,3.0,3,Relatively New,1571.0,0.0,0.0,unfurnished,High,0.0004964990451941439,1.0,0.5766133643039938
flat,sector 63,2.2,3.0,4.0,3+,Moderately Old,1545.0,0.0,0.0,semiunfurnished,Medium,0.001423948220064725,1.3333333333333333,1.1631508098056809
flat,sector 33,1.67,3.0,2.0,2,Under Construction,2169.0,0.0,0.0,unfurnished,Medium,0.0007699400645458736,0.6666666666666666,0.9820784724121581
flat,sector 36,0.45,1.0,1.0,1,Relatively New,450.0,0.0,0.0,unfurnished,Low,0.001,1.0,0.37156355643248307
flat,sector 50,2.35,3.0,3.0,3,Moderately Old,1900.0,0.0,0.0,semiunfurnished,Low,0.001236842105263158,1.0,1.208960345836975
flat,sector 48,2.0,3.0,3.0,0,Relatively New,1912.0,1.0,0.0,unfurnished,Medium,0.0010460251046025104,1.0,1.0986122886681096
flat,gwal pahari,1.5,4.0,4.0,3+,Old Property,2352.0,1.0,0.0,unfurnished,High,0.0006377551020408163,1.0,0.916290731874155
flat,sector 25,3.7,4.0,4.0,3,Old Property,2726.0,1.0,0.0,semiunfurnished,Low,0.0013573000733675717,1.0,1.547562508716013
flat,sector 113,1.9,3.0,2.0,2,Relatively New,1377.0,0.0,0.0,semiunfurnished,High,0.0013798111837327522,0.6666666666666666,1.0647107369924282
flat,sector 107,0.49,2.0,2.0,1,Relatively New,598.0,0.0,0.0,furnished,Low,0.0008193979933110368,1.0,0.3987761199573677
flat,gwal pahari,1.45,3.0,3.0,3,Under Construction,1430.0,0.0,0.0,unfurnished,Low,0.0010139860139860139,1.0,0.8960880245566356
flat,sector 69,1.43,3.0,3.0,2,Relatively New,1398.0,0.0,0.0,unfurnished,Medium,0.0010228898426323319,1.0,0.887891257352457
flat,sector 79,1.4,3.0,3.0,3,New Property,1934.0,0.0,0.0,semiunfurnished,High,0.0007238883143743536,1.0,0.8754687373538999
flat,gwal pahari,5.25,4.0,5.0,3+,New Property,5217.0,1.0,0.0,unfurnished,Low,0.0010063254744105809,1.25,1.83258146374831
flat,sector 69,1.9,4.0,4.0,2,Relatively New,1808.0,0.0,0.0,unfurnished,Low,0.0010508849557522124,1.0,1.0647107369924282
flat,sector 104,1.75,3.0,4.0,3+,Relatively New,2198.0,1.0,0.0,semiunfurnished,Low,0.0007961783439490446,1.3333333333333333,1.0116009116784799
house,sector 33,1.15,2.0,2.0,3,Relatively New,1400.0,0.0,0.0,semiunfurnished,Medium,0.0008214285714285714,1.0,0.7654678421395714
flat,sector 37,0.67,2.0,2.0,2,Relatively New,1079.0,0.0,0.0,unfurnished,Low,0.0006209453197405005,1.0,0.5128236264286637
flat,sector 95,0.2,1.0,1.0,1,Relatively New,475.0,0.0,0.0,unfurnished,Medium,0.0004210526315789474,1.0,0.18232155679395465
flat,sector 69,1.68,3.0,3.0,2,Relatively New,1500.0,0.0,0.0,unfurnished,High,0.00112,1.0,0.9858167945227652
flat,sector 69,0.9,3.0,2.0,3+,Relatively New,1326.0,0.0,0.0,semiunfurnished,High,0.0006787330316742081,0.6666666666666666,0.6418538861723948
flat,sohna road,0.26,2.0,2.0,1,Relatively New,625.0,0.0,0.0,unfurnished,Low,0.00041600000000000003,1.0,0.2311117209633866
flat,sector 67a,1.6,3.0,3.0,2,New Property,1437.0,0.0,1.0,semiunfurnished,High,0.0011134307585247043,1.0,0.9555114450274363
flat,sector 111,2.35,3.0,3.0,3+,Under Construction,1615.0,0.0,0.0,unfurnished,Low,0.001455108359133127,1.0,1.208960345836975
flat,sector 109,1.45,3.0,4.0,3+,Relatively New,1797.0,1.0,0.0,unfurnished,Medium,0.000806900389538119,1.3333333333333333,0.8960880245566356
house,sector 4,2.35,4.0,4.0,2,Old Property,1440.0,0.0,0.0,unfurnished,Low,0.0016319444444444445,1.0,1.208960345836975
flat,sector 89,1.2,3.0,3.0,2,New Property,1423.0,0.0,0.0,unfurnished,Low,0.0008432888264230499,1.0,0.7884573603642702
flat,sector 99,0.3,2.0,1.0,0,New Property,584.0,0.0,0.0,unfurnished,Low,0.0005136986301369863,0.5,0.262364264467491
flat,sector 83,1.3,3.0,3.0,1,Relatively New,2573.0,0.0,0.0,semiunfurnished,Medium,0.0005052467936261174,1.0,0.832909122935104
flat,sector 99,0.4,2.0,2.0,2,New Property,786.0,0.0,0.0,unfurnished,Medium,0.0005089058524173028,1.0,0.3364722366212129
flat,sector 112,0.7,2.0,2.0,2,Relatively New,1498.0,0.0,0.0,unfurnished,Medium,0.0004672897196261682,1.0,0.5306282510621704
house,sector 3,0.55,1.0,1.0,0,Old Property,750.0,0.0,0.0,unfurnished,Low,0.0007333333333333333,1.0,0.43825493093115525
house,sector 7,2.0,2.0,2.0,2,Old Property,1440.0,0.0,0.0,unfurnished,Low,0.001388888888888889,1.0,1.0986122886681096
house,sector 4,0.8,2.0,3.0,1,Moderately Old,675.0,0.0,0.0,unfurnished,Low,0.0011851851851851852,1.5,0.5877866649021191
flat,sector 2,0.2,1.0,1.0,1,Moderately Old,649.0,0.0,0.0,unfurnished,Low,0.0003081664098613251,1.0,0.18232155679395465
house,sector 109,6.0,4.0,5.0,3,Moderately Old,6228.0,0.0,0.0,unfurnished,Medium,0.0009633911368015414,1.25,1.9459101490553132
flat,sector 85,0.88,3.0,3.0,1,Relatively New,1336.0,0.0,0.0,unfurnished,Medium,0.0006586826347305389,1.0,0.6312717768418579
flat,sector 102,1.4,3.0,3.0,3,Relatively New,1406.0,1.0,0.0,unfurnished,Medium,0.000995732574679943,1.0,0.8754687373538999
flat,sector 108,3.35,3.0,4.0,2,New Property,2525.0,0.0,0.0,unfurnished,High,0.0013267326732673268,1.3333333333333333,1.4701758451005926
flat,sector 102,1.76,3.0,3.0,3,Relatively New,1522.0,0.0,0.0,unfurnished,High,0.0011563731931668857,1.0,1.0152306797290587
flat,sector 99,0.85,2.0,2.0,2,New Property,1126.0,0.0,0.0,unfurnished,Low,0.0007548845470692718,1.0,0.6151856390902334
flat,sector 4,0.42,2.0,2.0,1,Relatively New,974.0,0.0,0.0,semiunfurnished,Low,0.00043121149897330595,1.0,0.35065687161316933
house,sector 7,1.55,2.0,2.0,2,Moderately Old,1080.0,0.0,0.0,semiunfurnished,Medium,0.0014351851851851852,1.0,0.9360933591703348
flat,sector 86,0.78,2.0,2.0,1,New Property,1223.0,0.0,0.0,unfurnished,Medium,0.0006377759607522486,1.0,0.5766133643039938
flat,sector 33,1.1,2.0,2.0,2,Under Construction,1275.0,0.0,0.0,unfurnished,Low,0.0008627450980392158,1.0,0.7419373447293773
flat,sector 69,1.42,3.0,3.0,2,Relatively New,1419.0,0.0,0.0,semiunfurnished,High,0.001000704721634954,1.0,0.8837675401685949
flat,sector 108,0.7,2.0,2.0,2,Moderately Old,1354.0,0.0,0.0,unfurnished,Medium,0.00051698670605613,1.0,0.5306282510621704
flat,sector 38,2.1,4.0,4.0,3+,Old Property,2283.0,0.0,0.0,furnished,Low,0.0009198423127463863,1.0,1.1314021114911006
flat,sector 92,0.95,4.0,3.0,2,New Property,1983.0,0.0,0.0,unfurnished,Low,0.00047907211296016134,0.75,0.6678293725756554
flat,sector 33,3.25,4.0,4.0,3+,Old Property,5618.0,1.0,0.0,semiunfurnished,High,0.000578497686009256,1.0,1.4469189829363254
flat,sector 56,1.7,3.0,3.0,3,Moderately Old,2200.0,0.0,0.0,unfurnished,Low,0.0007727272727272727,1.0,0.9932517730102833
flat,sector 88a,1.19,2.0,2.0,3,Relatively New,1492.0,0.0,0.0,semiunfurnished,High,0.0007975871313672921,1.0,0.7839015438284094
house,sector 23,1.2,3.0,2.0,2,New Property,1500.0,0.0,0.0,semiunfurnished,Medium,0.0007999999999999999,0.6666666666666666,0.7884573603642702
flat,sector 102,1.4,2.0,2.0,2,New Property,1256.0,0.0,0.0,semiunfurnished,Low,0.0011146496815286624,1.0,0.8754687373538999
flat,sector 48,1.76,3.0,3.0,3+,Moderately Old,1576.0,1.0,0.0,semiunfurnished,High,0.001116751269035533,1.0,1.0152306797290587
flat,sector 86,1.45,3.0,2.0,3,Relatively New,1480.0,0.0,0.0,furnished,Medium,0.0009797297297297297,0.6666666666666666,0.8960880245566356
flat,sector 69,1.4,3.0,3.0,2,Relatively New,1419.0,0.0,0.0,unfurnished,High,0.0009866102889358702,1.0,0.8754687373538999
flat,sector 62,7.15,4.0,5.0,3+,Relatively New,3901.0,1.0,1.0,semiunfurnished,High,0.0018328633683670854,1.25,2.0980179272527715
flat,sector 67,2.72,4.0,4.0,3+,Relatively New,2250.0,1.0,0.0,semiunfurnished,High,0.001208888888888889,1.0,1.3137236682850553
flat,sector 93,0.4,2.0,2.0,2,New Property,706.0,0.0,0.0,unfurnished,Low,0.00056657223796034,1.0,0.3364722366212129
flat,sector 70a,1.1,2.0,2.0,3+,New Property,1304.0,0.0,0.0,unfurnished,Medium,0.0008435582822085891,1.0,0.7419373447293773
flat,sector 70a,1.34,2.0,2.0,3+,New Property,1173.0,0.0,0.0,semiunfurnished,High,0.0011423699914748509,1.0,0.8501509293696101
flat,sohna road,0.95,2.0,2.0,3+,Under Construction,1050.0,0.0,0.0,unfurnished,Medium,0.0009047619047619047,1.0,0.6678293725756554
flat,sector 112,5.6,4.0,6.0,3+,Moderately Old,3662.34,1.0,0.0,semiunfurnished,High,0.001529077038177777,1.5,1.8870696490323797
flat,sector 91,0.96,2.0,2.0,3+,Moderately Old,1263.0,0.0,0.0,unfurnished,Medium,0.0007600950118764845,1.0,0.6729444732424258
flat,sector 81,2.34,3.0,4.0,3+,Relatively New,1760.0,1.0,0.0,furnished,High,0.0013295454545454546,1.3333333333333333,1.205970806988609
flat,sector 43,3.25,4.0,4.0,3+,Moderately Old,3386.0,0.0,0.0,semiunfurnished,High,0.0009598346131128175,1.0,1.4469189829363254
flat,sector 77,1.25,3.0,4.0,3,Relatively New,1416.0,1.0,0.0,unfurnished,Low,0.0008827683615819209,1.3333333333333333,0.8109302162163288
flat,sector 61,1.47,2.0,2.0,2,Under Construction,1558.0,0.0,0.0,unfurnished,Medium,0.0009435173299101411,1.0,0.9042181506398858
house,sector 36,0.75,3.0,1.0,0,New Property,1081.0,0.0,0.0,unfurnished,Low,0.0006938020351526364,0.3333333333333333,0.5596157879354227
flat,sector 2,0.98,2.0,2.0,3,Moderately Old,1408.0,0.0,0.0,unfurnished,Medium,0.0006960227272727273,1.0,0.6830968447064438
flat,sector 69,1.66,3.0,3.0,2,Relatively New,1473.0,0.0,0.0,unfurnished,High,0.0011269517990495587,1.0,0.9783261227936076
flat,sector 56,0.52,1.0,1.0,1,Old Property,472.0,0.0,0.0,unfurnished,Low,0.0011016949152542373,1.0,0.418710334858185
flat,sohna road,0.66,2.0,2.0,3,Relatively New,1042.0,0.0,0.0,unfurnished,Low,0.0006333973128598849,1.0,0.5068176023684519
house,sector 12,0.7,4.0,4.0,1,Moderately Old,1700.0,0.0,0.0,unfurnished,Low,0.0004117647058823529,1.0,0.5306282510621704
house,sector 2,9.0,5.0,5.0,2,Old Property,4680.0,1.0,1.0,furnished,High,0.0019230769230769232,1.0,2.3025850929940455
flat,sector 85,1.2,2.0,2.0,3+,Relatively New,1483.0,0.0,1.0,unfurnished,High,0.0008091706001348617,1.0,0.7884573603642702
flat,sector 36,0.36,1.0,1.0,1,Relatively New,444.0,0.0,0.0,unfurnished,High,0.0008108108108108108,1.0,0.3074846997479606
house,sector 5,3.5,6.0,5.0,2,Old Property,2250.0,1.0,0.0,furnished,High,0.0015555555555555555,0.8333333333333334,1.504077396776274
flat,sector 67,2.35,3.0,4.0,3+,Moderately Old,1741.0,1.0,0.0,semiunfurnished,High,0.0013497989661114304,1.3333333333333333,1.208960345836975
flat,sector 70a,1.51,3.0,3.0,3,Relatively New,1777.0,1.0,0.0,unfurnished,Low,0.0008497467642093416,1.0,0.9202827531436925
flat,sector 83,0.85,2.0,2.0,2,Moderately Old,1100.0,0.0,0.0,semiunfurnished,High,0.0007727272727272727,1.0,0.6151856390902334
flat,sector 85,1.05,2.0,2.0,1,Under Construction,97.0,0.0,0.0,unfurnished,Low,0.010824742268041237,1.0,0.7178397931503168
flat,sector 72,1.9,3.0,3.0,3,Moderately Old,1777.0,1.0,0.0,semiunfurnished,Low,0.0010692177827799662,1.0,1.0647107369924282
flat,sector 89,1.32,3.0,3.0,3,Under Construction,1013.0,0.0,0.0,unfurnished,Low,0.0013030602171767028,1.0,0.8415671856782185
flat,sector 106,0.88,2.0,2.0,3+,Relatively New,940.0,0.0,0.0,unfurnished,Low,0.0009361702127659575,1.0,0.6312717768418579
flat,sector 103,0.3,1.0,2.0,2,New Property,470.0,0.0,0.0,unfurnished,Low,0.0006382978723404255,2.0,0.262364264467491
flat,sector 37d,1.5,3.0,2.0,3+,Relatively New,1367.0,0.0,0.0,unfurnished,Low,0.0010972933430870519,0.6666666666666666,0.916290731874155
flat,sector 109,1.75,3.0,3.0,3,Relatively New,1550.0,0.0,0.0,semiunfurnished,Low,0.0011290322580645162,1.0,1.0116009116784799
flat,sector 37,0.9,3.0,3.0,3,Relatively New,1435.0,0.0,0.0,unfurnished,Medium,0.0006271777003484321,1.0,0.6418538861723948
flat,sector 67,3.0,3.0,3.0,3+,Relatively New,2047.0,0.0,1.0,semiunfurnished,High,0.0014655593551538837,1.0,1.3862943611198906
flat,sohna road,0.28,2.0,2.0,2,New Property,585.0,0.0,0.0,unfurnished,Low,0.0004786324786324787,1.0,0.2468600779315258
flat,sohna road,0.56,2.0,2.0,3,New Property,1067.0,0.0,0.0,unfurnished,High,0.0005248359887535146,1.0,0.4446858212614457
house,sector 12,3.71,3.0,3.0,1,Moderately Old,1872.0,0.0,0.0,unfurnished,Low,0.001981837606837607,1.0,1.5496879080283263
flat,sector 113,2.85,3.0,3.0,3+,New Property,2217.0,1.0,0.0,unfurnished,Medium,0.0012855209742895805,1.0,1.3480731482996928
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1689.0,0.0,0.0,unfurnished,Low,0.0007400828892835998,1.0,0.8109302162163288
flat,sector 104,2.0,3.0,4.0,3+,Relatively New,2060.0,1.0,0.0,unfurnished,Medium,0.000970873786407767,1.3333333333333333,1.0986122886681096
flat,sector 107,0.35,2.0,2.0,2,Relatively New,710.0,0.0,0.0,unfurnished,Low,0.0004929577464788732,1.0,0.30010459245033805
flat,sector 109,2.15,3.0,4.0,3,Relatively New,1885.0,1.0,0.0,unfurnished,High,0.0011405835543766578,1.3333333333333333,1.1474024528375417
flat,sector 77,1.64,4.0,3.0,3,Relatively New,1754.0,1.0,0.0,unfurnished,High,0.0009350057012542759,0.75,0.9707789171582247
house,sector 4,0.85,3.0,3.0,0,Moderately Old,1130.0,0.0,0.0,unfurnished,Low,0.000752212389380531,1.0,0.6151856390902334
flat,sector 47,2.4,3.0,3.0,0,Moderately Old,3116.0,0.0,0.0,semiunfurnished,Low,0.0007702182284980744,1.0,1.2237754316221157
house,sector 13,4.5,4.0,5.0,2,Old Property,4950.0,0.0,0.0,unfurnished,Low,0.0009090909090909091,1.25,1.7047480922384253
flat,sector 95,0.43,2.0,2.0,2,Relatively New,1300.0,0.0,0.0,unfurnished,High,0.0003307692307692308,1.0,0.35767444427181594
flat,sector 102,1.38,3.0,3.0,3,Relatively New,1406.0,1.0,0.0,semiunfurnished,High,0.0009815078236130868,1.0,0.8671004876833832
flat,sector 71,1.35,4.0,4.0,3,Moderately Old,2114.0,1.0,0.0,unfurnished,Low,0.0006385998107852412,1.0,0.8544153281560676
flat,sector 65,3.0,4.0,4.0,3+,Relatively New,1975.0,1.0,0.0,unfurnished,Medium,0.0015189873417721519,1.0,1.3862943611198906
flat,sohna road,0.32,2.0,2.0,2,Relatively New,719.0,0.0,0.0,semiunfurnished,Low,0.0004450625869262865,1.0,0.27763173659827944
flat,sector 107,0.75,2.0,2.0,3+,Relatively New,1296.0,0.0,0.0,unfurnished,High,0.0005787037037037037,1.0,0.5596157879354227
flat,sector 107,0.36,2.0,2.0,1,Relatively New,493.0,0.0,0.0,unfurnished,Low,0.0007302231237322514,1.0,0.3074846997479606
flat,sector 89,1.0,2.0,2.0,2,New Property,1432.0,0.0,0.0,unfurnished,Low,0.0006983240223463687,1.0,0.6931471805599453
flat,sohna road,0.35,2.0,2.0,2,New Property,658.0,0.0,0.0,unfurnished,Low,0.0005319148936170213,1.0,0.30010459245033805
flat,sector 48,4.3,4.0,5.0,3+,New Property,4024.0,1.0,0.0,unfurnished,Medium,0.0010685884691848907,1.25,1.667706820558076
flat,sector 67a,1.7,3.0,3.0,2,New Property,1437.0,1.0,0.0,semiunfurnished,Low,0.0011830201809324983,1.0,0.9932517730102833
flat,sector 69,1.36,3.0,3.0,1,Relatively New,1383.0,0.0,0.0,unfurnished,Medium,0.0009833694866232827,1.0,0.8586616190375187
house,sector 67,3.0,4.0,4.0,0,New Property,3271.0,0.0,0.0,unfurnished,Low,0.0009171507184347294,1.0,1.3862943611198906
flat,sector 108,3.95,3.0,5.0,2,New Property,2035.0,1.0,0.0,unfurnished,High,0.0019410319410319411,1.6666666666666667,1.599387576580599
flat,sector 90,1.65,4.0,4.0,3+,Moderately Old,2453.0,0.0,0.0,unfurnished,High,0.0006726457399103138,1.0,0.9745596399981308
flat,sector 2,0.95,2.0,3.0,2,Old Property,1688.0,0.0,0.0,semiunfurnished,Low,0.0005627962085308056,1.5,0.6678293725756554
flat,sector 90,1.25,3.0,3.0,3+,Relatively New,1929.0,1.0,0.0,unfurnished,High,0.0006480041472265422,1.0,0.8109302162163288
flat,sector 110,3.79,5.0,5.0,3,Relatively New,3445.0,1.0,0.0,unfurnished,High,0.0011001451378809869,1.0,1.5665304114228238
house,sector 110,0.34,2.0,2.0,2,Moderately Old,270.0,0.0,0.0,unfurnished,Low,0.0012592592592592594,1.0,0.29266961396282
flat,sector 102,1.75,3.0,3.0,3,Relatively New,1565.0,1.0,0.0,unfurnished,Low,0.0011182108626198084,1.0,1.0116009116784799
house,sector 70a,0.9,2.0,2.0,3+,New Property,1541.0,1.0,0.0,unfurnished,High,0.0005840363400389357,1.0,0.6418538861723948
flat,sector 61,1.58,2.0,2.0,2,New Property,1493.0,0.0,0.0,unfurnished,Low,0.001058271935699933,1.0,0.947789398933526
flat,sector 37d,0.8,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,unfurnished,Medium,0.0006153846153846154,1.0,0.5877866649021191
flat,sector 92,0.5,3.0,3.0,1,Relatively New,576.0,0.0,0.0,unfurnished,Low,0.0008680555555555555,1.0,0.4054651081081644
flat,sector 111,0.36,1.0,1.0,1,Relatively New,526.0,0.0,0.0,unfurnished,Low,0.0006844106463878327,1.0,0.3074846997479606
flat,sector 69,2.0,4.0,4.0,2,Relatively New,1877.0,0.0,0.0,unfurnished,High,0.0010655301012253596,1.0,1.0986122886681096
flat,sector 47,2.45,3.0,4.0,2,Old Property,2973.0,0.0,0.0,semiunfurnished,Low,0.000824083417423478,1.3333333333333333,1.2383742310432684
flat,sector 69,2.05,4.0,4.0,2,Relatively New,1877.0,0.0,0.0,unfurnished,High,0.0010921683537559936,1.0,1.11514159061932
flat,sector 104,4.45,4.0,5.0,3+,Relatively New,8438.0,0.0,0.0,unfurnished,High,0.0005273761554870823,1.25,1.6956156086751526
flat,sector 102,1.42,2.0,2.0,3,Relatively New,1368.0,0.0,0.0,unfurnished,Low,0.0010380116959064327,1.0,0.8837675401685949
flat,sector 113,2.4,3.0,4.0,3+,Relatively New,1940.0,1.0,0.0,unfurnished,Low,0.0012371134020618556,1.3333333333333333,1.2237754316221157
house,sector 21,0.6,3.0,3.0,2,Old Property,972.0,0.0,0.0,unfurnished,Low,0.0006172839506172839,1.0,0.4700036292457355
flat,sector 108,2.5,3.0,3.0,2,New Property,1480.0,0.0,0.0,unfurnished,High,0.0016891891891891893,1.0,1.252762968495368
flat,sector 52,1.5,4.0,4.0,3,Old Property,1475.0,0.0,0.0,unfurnished,Medium,0.001016949152542373,1.0,0.916290731874155
flat,sector 78,1.15,3.0,3.0,3,Moderately Old,1957.0,1.0,0.0,unfurnished,Low,0.0005876341338783852,1.0,0.7654678421395714
flat,sector 107,0.28,2.0,2.0,2,Relatively New,635.0,0.0,0.0,unfurnished,Low,0.0004409448818897638,1.0,0.2468600779315258
